iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,Latitude,Longitude,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,population,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
CHL,South America,Chile,7/21/24,5400928,62,8.86,62727,-35.675147	,-71.542969	,0.14,273188.25,3.14,0.45,3172.84,19603736,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.28,35.4,11.09,6.94,22767.04,1.3,127.99,8.46,34.2,41.5,,2.11,80.18,0.85,19603736,,,,
CHN,Asia,China,7/21/24,99369029,1988,284,122280,35.86166	    ,104.195397	,1,70020.38,1.4,0.2,86.16,1425887360,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.67,38.7,10.64,5.93,15308.71,0.7,261.9,9.74,1.9,48.4,,4.34,76.91,0.76,1425887360,,,,
COL,South America,Colombia,7/21/24,6389838,960,137.14,142727,4.570868	    ,-74.297333	,0,120754.57,18.14,2.59,2697.24,51874028,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.22,32.2,7.65,4.31,13254.95,4.5,124.24,7.44,4.7,13.5,65.39,1.71,77.29,0.77,51874028,,,,
COM,Africa,Comoros,7/21/24,9109,0,0,160,-11.875001	,43.872219	,0,10500.03,0,0,184.43,836783,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.35,20.4,2.96,1.73,1413.89,18.1,261.52,11.88,4.4,23.6,15.57,2.2,64.32,0.55,836783,,,,
COG,Africa,Congo,7/21/24,25227,0,0,389,-4.038333	,21.758664	,0,3978.23,0,0,61.34,5970430,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,19,3.4,2.06,4881.41,37,344.09,7.2,1.7,52.3,47.96,,64.57,0.57,5970430,,,,
COK,Oceania,Cook Islands,7/21/24,7344,0,0,2,,,0,535150.3,0,0,145.74,17032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.25,,17032,,,,
CRI,North America,Costa Rica,7/21/24,1230653,0,0,9368,9.748917	    ,-83.753428	,0,239838.56,0,0,1825.7,5180836,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.08,33.6,9.47,5.69,15525,1.3,137.97,8.78,6.4,17.4,83.84,1.13,80.28,0.81,5180836,,,,
CIV,Africa,Cote d'Ivoire,7/21/24,88433,0,0,835,,,0,2765.53,0,0,26.11,28160548,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.4,18.7,2.93,1.58,3601.01,28.2,303.74,2.42,,,19.35,,57.78,0.54,28160548,,,,
HRV,Europe,Croatia,7/21/24,1317144,0,0,18752,,,0,340010.22,0,0,4840.68,4030361,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.73,44,19.72,13.05,22669.8,0.7,253.78,5.59,34.3,39.9,,5.54,78.49,0.85,4030361,,,,
CUB,North America,Cuba,7/21/24,1113662,0,0,8530,21.521757	,-77.781167	,0,101449.99,0,0,777.05,11212198,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.41,43.1,14.74,9.72,,,190.97,8.27,17.1,53.3,85.2,5.2,78.8,0.78,11212198,,,,
